company_name,location,job_title,job_description,rating,employer_estimate,min_salary,max_salary,avg_salary,Size,Founded,Type,Industry,Sector,Revenue,skills,age
Lincode,Remote,Data Science Intern,"Collaborate with cross-functional teams to integrate computer vision solutions into products. Assist in the development and implementation of computer vision……
Skills: TensorFlow, Image processing, Azure, Computer vision, Google Cloud Platform",3.2,0,300000,800000,550000.0,1 to 50 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Less than $1 million (USD)," TensorFlow, Image processing, Azure, Computer vision, Google Cloud Platform",7.0
Boston Consulting Group,Gurgaon,"AI Engineer, India - BCG X","1-3 years of relevant work experience in data science, machine learning, artificial intelligence, or big data. Knowledge of API frameworks Django, Flask etc.…
Skills: Azure, Big data, Spark, R, Java",4.2,0,600000,900000,750000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Azure, Big data, Spark, R, Java",61.0
Alignerr,Remote,"Coders - AI Training (Freelance, Remote) IN","As an AI Tutor - Coding, you'll play a critical role in shaping the future of AI. Proficiency working with any of the the following (in addition to the……
Skills: MATLAB, Rust, Go, C#, R",,1,10000,10000,10000.0,Unknown,--,Company - Public,--,--,Unknown / Non-Applicable," MATLAB, Rust, Go, C#, R",
Boston Consulting Group,Gurgaon,"Data Scientist, India - BCG X","As a Data Scientist at BCG, you will collaborate on challenging projects to increasing your understanding of complex business problems from diverse perspectives……
Skills: Image processing, Azure, Big data, R, Google Cloud Platform",4.2,0,400000,1000000,700000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Image processing, Azure, Big data, R, Google Cloud Platform",61.0
Optum,Haryāna,Sr AI/ML Engineer,"Comply with the terms and conditions of the employment contract, company policies and procedures, and any and all directives (such as, but not limited to,……
Skills: Presentation skills, Machine learning, Deep learning, Natural language processing, Data science",,0,1000000,1000000,1000000.0,,,,,,," Presentation skills, Machine learning, Deep learning, Natural language processing, Data science",
RELX,Gurgaon,Data Research Analyst,"Working flexible hours - flexing the times when you work in the day to help you fit everything in and work when you are the most productive.…
Skills: Research, Analysis skills, Data science, Communication skills",4.1,0,200000,1000000,600000.0,10000+ Employees,1880,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)," Research, Analysis skills, Data science, Communication skills",144.0
Imurgence,India,Junior Data Science Team Member,"Alternatively, an extraordinary curiosity about business and industry. Discuss, brainstorm on new modules with the senior team, write business logic with……
Skills: Statistics, Microsoft Excel, Data mining, R, SQL",4.0,0,300000,900000,600000.0,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable," Statistics, Microsoft Excel, Data mining, R, SQL",
GeoTechnosoft,Noida,Python/Data Science Intern - Patna(onsite),"Assist our data scientists with tasks like data analysis, machine learning exploration, and creating insightful reports.…
Skills: Power BI, Data structures, SQL, Machine learning, Data science",,0,500000,900000,700000.0,,,,,,," Power BI, Data structures, SQL, Machine learning, Data science",
A Plus Topper,Remote,Data Science Internship,"Support the development of data-driven solutions to optimize processes. Research and experiment with new tools and techniques in data science.…
Skills: CSS, SQL, Statistical analysis, Database management, Machine learning",4.3,0,500000,1000000,750000.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," CSS, SQL, Statistical analysis, Database management, Machine learning",
Nest Software Private Limited,India,Data Science AI Internship,"Assist in the design, development, and deployment of AI-driven applications and solutions. Stay updated with the latest trends and advancements in data science……
Skills: Azure, Big data, Spark, Google Cloud Platform, SQL",1.9,0,500000,500000,500000.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Azure, Big data, Spark, Google Cloud Platform, SQL",
Boston Consulting Group,Mumbai,Data Architect,"Keep pace with industry trends to ensure our cloud data center designs and infrastructure layer architectures remain cutting-edge and client-focused.…
Skills: Azure, Cloud architecture, PCI, Kubernetes, Big data",4.2,0,85000,900000,492500.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Azure, Cloud architecture, PCI, Kubernetes, Big data",61.0
Boston Consulting Group,Bengaluru,Data Engineer - X Delivery,"You will collaborate closely with cross-functional teams, including data scientists, analysts, and business stakeholders, to deliver high-quality data solutions……
Skills: Microsoft Powerpoint, CI/CD, Azure, Cassandra, Kubernetes",4.2,0,500000,900000,700000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, CI/CD, Azure, Cassandra, Kubernetes",61.0
ONLEI Technologies,Remote,Data Science Trainer,"As a Data Science & Analytics trainer, you will be responsible for training college students , freshers and Professionals . We are looking to hire a Data……
Skills: Data science",5.0,0,400000,900000,650000.0,201 to 500 Employees,--,Company - Private,--,--,Unknown / Non-Applicable, Data science,
Adobe,Noida,Computer Scientist II,"If you are applying for a role outside of your current country, ensure you review the International Resources for Relocating Employees on Inside Adobe,……
Skills: Azure, Data structures, Adobe Creative Suite, Application development, AWS",4.2,1,2500000,4000000,3250000.0,10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$2 to $5 billion (USD)," Azure, Data structures, Adobe Creative Suite, Application development, AWS",42.0
Dun & Bradstreet,Mumbai,Data Science - Intern,"Demonstrated problem-solving abilities and a passion for working with big data. Perform statistical analysis, identify data anomalies, and summarize data……
Skills: Microsoft Powerpoint, Computer science, Power BI, Microsoft Excel, Big data",3.9,0,700000,1000000,850000.0,5001 to 10000 Employees,1841,Company - Public,Business consulting,Management and consulting,$2 to $5 billion (USD)," Microsoft Powerpoint, Computer science, Power BI, Microsoft Excel, Big data",183.0
Sagility,Bengaluru,Data Science,"Machine learning (Regression, Classification models etc) - intermediate. Computer Vision & NLP - optional but will have added advantage.…
Skills: Image processing, R, English, SQL, Machine learning",3.4,0,400000,600000,500000.0,10000+ Employees,2022,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," Image processing, R, English, SQL, Machine learning",2.0
Boston Consulting Group,Bengaluru,"Data Analyst, Optimization, India - X Delivery","You will collaborate with case teams to gather requirements, specify, design, develop, deliver and support analytic solutions serving client needs.…
Skills: Microsoft Powerpoint, Supply chain, Spark, Alteryx, Analysis skills",4.2,0,200000,500000,350000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Supply chain, Spark, Alteryx, Analysis skills",61.0
Boston Consulting Group,Gurgaon,"Data Analyst, Predictive, India- X Delivery","Our data analytics and artificial intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative……
Skills: Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",4.2,1,8000,25000,16500.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Statistics, Power BI, Microsoft Access, Azure",61.0
Boston Consulting Group,Delhi,Global IT QA Software Engineer Senior Manager – Gen AI/ LLM,"Knowledge of industry standards and best practices in AI/LLM quality engineering. You will collaborate with cross-functional teams including data scientists,……
Skills: Software deployment, Information security, Java, Analysis skills, Project management",4.2,1,10000,18000,14000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Software deployment, Information security, Java, Analysis skills, Project management",61.0
NatWest Digital X,Gurgaon,Data Science Lead,"You’ll also understand the complex requirements and needs of business stakeholders along with developing strong relationships, forming hypotheses and……
Skills: Procurement, R, Machine learning, Agile, Financial services",4.0,0,600000,800000,700000.0,10000+ Employees,1727,Company - Public,Banking & Lending,Finance,$10+ billion (USD)," Procurement, R, Machine learning, Agile, Financial services",297.0
Atlassian,Bengaluru,"Software Engineer, Data Science","You'll be responsible for the design, build and maintenance of tools that enable our Support Engineers and related teams to be more effective and efficient at……
Skills: Software deployment, Microservices, SQL, Docker, Machine learning",3.8,0,400000,1000000,700000.0,5001 to 10000 Employees,2002,Company - Public,Software Development,Information Technology,Unknown / Non-Applicable," Software deployment, Microservices, SQL, Docker, Machine learning",22.0
ANZ Banking Group,Bengaluru,Data Scientist,"Initiate, design and implement innovative capabilities in the field of data science and data analytics. As a Data Scientist, you are accountable for developing ……
Skills: Software deployment, SQL, Presentation skills, Machine learning, Data management",4.0,0,300000,800000,550000.0,5001 to 10000 Employees,1835,Company - Public,Banking & Lending,Finance,Unknown / Non-Applicable," Software deployment, SQL, Presentation skills, Machine learning, Data management",189.0
ANZ Banking Group,Bengaluru,Data Engineer,"4+ years of industry experience in data and/or software engineering, data science, business intelligence, or related fields.…
Skills: CI/CD, Data modeling, Rust, Go, Business intelligence",4.0,0,800000,900000,850000.0,5001 to 10000 Employees,1835,Company - Public,Banking & Lending,Finance,Unknown / Non-Applicable," CI/CD, Data modeling, Rust, Go, Business intelligence",189.0
C2Perform India,Delhi,Director of Development Operations,"The role is dedicated to transforming the way business functions interact with technology; therefore, you will serve as a visionary leader and advisor to our……
Skills: Data modeling, Cloud architecture, Node.js, CSS, React",,1,2500000,3600000,3050000.0,,,,,,," Data modeling, Cloud architecture, Node.js, CSS, React",
Boston Consulting Group,Bengaluru,"Data & Analytics Lead, Client Ops, India - X Delivery","This global business unit is an integral part of BCG’s strategy to develop new digital client service offerings in order to deliver superior value and sustained……
Skills: Microsoft Powerpoint, Statistics, Computer science, Power BI, Microsoft Access",4.2,1,500000,1700000,1100000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Microsoft Powerpoint, Statistics, Computer science, Power BI, Microsoft Access",61.0
Publicis Groupe,Gurgaon,Associate Data Analytics,"The platform is an integral part of media ways of working to ensure consistency in across markets and requires ongoing central management from an ambitious……
Skills: Google AdWords, Analysis skills, Project management, Data management, Data entry",3.8,1,10000,30000,20000.0,10000+ Employees,1926,Company - Public,Advertising & Public Relations,Media and communication,$5 to $10 billion (USD)," Google AdWords, Analysis skills, Project management, Data management, Data entry",98.0
BigSpire Software,India,Associate Data Analytics - Freshers,"Skill Sets: Should have a good communication skills, knowledge in Hadoop, MapReduce concepts and analytical skills Qualifications: Bachelor or Master degree……
Skills: Analysis skills, Communication skills, Hadoop",3.9,0,500000,900000,700000.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Analysis skills, Communication skills, Hadoop",
Ignitho,Chennai,Associate - Data Science (ML),"Bachelor’s degree in computer science, Statistics, Mathematics, or related field; master’s degree preferred. Work on LLM/Gen AI based applications.…
Skills: Machine learning, Natural language processing, Data science, AI, Communication skills",4.3,1,300000,600000,450000.0,51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable," Machine learning, Natural language processing, Data science, AI, Communication skills",8.0
LeadsRank LLP,Chandigarh,Data Science Intern - Chandigarh,"Ability to work with large data sets using Python. Have a strong background in Python programming, MySQL, Linux, and Machine Learning.…
Skills: TensorFlow, Machine learning, Natural language processing, Cloud computing, Linux",,1,30000,80000,55000.0,,,,,,," TensorFlow, Machine learning, Natural language processing, Cloud computing, Linux",
JPMorgan Chase & Co,India,Data Science - Machine Learning - Associate,"Identify key data sources that can make business impacts. Proficient in Visualization and story telling which can make an impact to the business .…
Skills: Statistics, Performance tuning, Data modeling, Alteryx, Data analysis skills",4.0,0,-1,-1,-1.0,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD)," Statistics, Performance tuning, Data modeling, Alteryx, Data analysis skills",225.0
Wahy Lab Solutions,Cochin,Data Science Intern,"we are hiring Data Science Interns , qualification : any , freshers can Apply Job Types: Full-time, Permanent, Fresher Schedule: * Monday to Friday Work……
Skills: Data science",3.5,0,-1,-1,-1.0,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable, Data science,
S&P Global,Hyderābād,Senior MLOps Engineer,"In this role, you will play a pivotal role in implementing our machine learning operations, ensuring the seamless deployment, monitoring, and management of our……
Skills: CI/CD, Elasticsearch, Big data, NoSQL, Git",4.1,0,-1,-1,-1.0,10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD)," CI/CD, Elasticsearch, Big data, NoSQL, Git",164.0
Infosys,Bengaluru,Data Science,"Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning &……
Skills: R, SQL, Project management, Machine learning, Natural language processing",3.7,0,-1,-1,-1.0,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)," R, SQL, Project management, Machine learning, Natural language processing",43.0
Innovecture,Pune,Junior Data Scientist,"O Maintain and optimize data storage solutions, ensuring data integrity and accessibility. O Ensure data is collected, transformed, and loaded efficiently from……
Skills: Power BI, Azure, Big data, Spark, R",4.6,0,-1,-1,-1.0,51 to 200 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)," Power BI, Azure, Big data, Spark, R",17.0
EVOLVE ROBOTICS,India,Data Science Trainee,"Responsibilities: Direct responsibility for all the training activities conducted under each area (regular training program, campus program, student projects).…
Skills: R, SQL, AWS, Machine learning, Natural language processing",,0,-1,-1,-1.0,,,,,,," R, SQL, AWS, Machine learning, Natural language processing",
Foundry- Internships,Bengaluru,Data Science Intern,"Based on their interests and our business needs, interns will be placed in roles that best suit them. Thorough grasp of computer science principles.…
Skills: Computer science, C#, .NET, Analysis skills, Math",,0,-1,-1,-1.0,,,,,,," Computer science, C#, .NET, Analysis skills, Math",
Diverse Infotech,Gurgaon,Data Science Analytics,"Data Science Analytics Diverse Infotech Pvt. Ltd. - Gurgaon Required Experience - 2+……
Skills: Data science",4.0,0,-1,-1,-1.0,1 to 50 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable, Data science,16.0
Boston Consulting Group,Delhi,Global IT Data Solution Architect Senior Manager,"Collaborate with Enterprise Architects and other Solution Architects and engineers to architect and design technical solutions that are aligned with enterprise……
Skills: Azure, Application development, AWS, Data management, APIs",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Azure, Application development, AWS, Data management, APIs",61.0
BOEING,Bengaluru,Lead Data Scientist,"Bachelor’s degree or higher in computer science or other closely related fields. Exhibits confidence and an extensive knowledge of emerging industry practices……
Skills: MATLAB, Big data, Mobile applications, Business analysis, System design",3.8,0,-1,-1,-1.0,10000+ Employees,1916,Company - Public,Aerospace and defence,Aerospace and defence,$10+ billion (USD)," MATLAB, Big data, Mobile applications, Business analysis, System design",108.0
SatSure Analytics India,Bengaluru,Data Science Intern,"To perform exploratory data analysis to understand datasets, identify patterns, and prepare data for model training.…
Skills: TensorFlow, Image processing, Computer vision, Analysis skills, Machine learning",4.1,0,-1,-1,-1.0,51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable," TensorFlow, Image processing, Computer vision, Analysis skills, Machine learning",7.0
Excellent Opportunity,Remote,Python Data Scientist/Analyst,"You'll be interacting and validating the output of an LLM (asking questions based on an open source data set and then verifying and providing feedback on the……
Skills: Data analysis skills, English, AI, Communication skills, Python",,0,-1,-1,-1.0,,,,,,," Data analysis skills, English, AI, Communication skills, Python",
Datamites,Pune,Data Science Trainer,"Bachelor's degree or higher in a relevant field such as Computer Science, Mathematics, Statistics, or Engineering. Strong analytical and problem-solving skills.…
Skills: R, Data analysis skills, Databases, Analysis skills, Machine learning",,0,-1,-1,-1.0,,,,,,," R, Data analysis skills, Databases, Analysis skills, Machine learning",
Boston Consulting Group,Delhi,Global Data Scientist Senior Manager,"Our data analytics and artifical intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative……
Skills: TensorFlow, Statistics, Power BI, Azure, Kubernetes",4.2,0,-1,-1,-1.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," TensorFlow, Statistics, Power BI, Azure, Kubernetes",61.0
DeepTek Medical Imaging,Pune,JD For Data Science Intern,"Knowledge of Python, Basic knowledge of deep learning. Completed or pursuing a Bachelor’s in relevant fields such as Computer Science, Data Science, or a……
Skills: Deep learning, Natural language processing, Data science, Communication skills, Python",4.0,0,-1,-1,-1.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Deep learning, Natural language processing, Data science, Communication skills, Python",
Infowiz Software Solution,Chandigarh,DATA SCIENCE,"Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.…
Skills: Machine learning, Data science",4.5,0,-1,-1,-1.0,51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Machine learning, Data science",
Tata Technologies,Bengaluru,Junior DATA ENGINEER,"Bachelor's degree in Computer Science, Software Engineering, or a related field• Up to 2 years of experience in software developm ent with exposure to AI or……
Skills: Ontology, Azure, AWS, Analysis skills, Machine learning",3.8,0,-1,-1,-1.0,10000+ Employees,1989,Company - Private,Research and development,Management and consulting,$100 to $500 million (USD)," Ontology, Azure, AWS, Analysis skills, Machine learning",35.0
Gururo,Remote,Data Scientist,"Analyze data and interpret data problems. Lead data collection and data mining processes. Expertise in statistical data analysis and predictive data modeling.…
Skills: MATLAB, Data modeling, Data mining, R, Databases",5.0,0,-1,-1,-1.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," MATLAB, Data modeling, Data mining, R, Databases",
myOnsite Healthcare LLC,Vadodara,Android Developer,"*Problem-Solving Skills: *Ability to diagnose and resolve complex technical issues, optimize application performance, and innovate solutions that enhance user……
Skills: Git, Java, Project management, Quality assurance, Machine learning",3.3,0,-1,-1,-1.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Git, Java, Project management, Quality assurance, Machine learning",
Smart Capital Center,Remote,AI Prompt Engineer / Junior,"*Collaboration:* Although working independently, you will communicate and collaborate with AI researchers, data scientists, and other stakeholders to align……
Skills: Research, Analysis skills, Machine learning, Natural language processing, Data science",3.8,0,-1,-1,-1.0,1 to 50 Employees,2020,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable," Research, Analysis skills, Machine learning, Natural language processing, Data science",4.0
FELIX HOSPITAL,Noida,Data Analyst,"Proficiency in using query languages such as SQL and experience of working with relationaland non-relational databases like mySQL, PostGres, Presto, Mongo ……
Skills: Statistics, Data mining, Relational databases, Tableau, SQL",,0,-1,-1,-1.0,,,,,,," Statistics, Data mining, Relational databases, Tableau, SQL",
JPMorgan Chase & Co,India,Data Science - Machine Learning - Associate,"Identify key data sources that can make business impacts. Proficient in Visualization and story telling which can make an impact to the business .…
Skills: Statistics, Performance tuning, Data modeling, Alteryx, Data analysis skills",4.0,0,1000000,1000000,1000000.0,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD)," Statistics, Performance tuning, Data modeling, Alteryx, Data analysis skills",225.0
Wahy Lab Solutions,Cochin,Data Science Intern,"we are hiring Data Science Interns , qualification : any , freshers can Apply Job Types: Full-time, Permanent, Fresher Schedule: * Monday to Friday Work……
Skills: Data science",3.5,0,400000,1000000,700000.0,Unknown,--,Company - Private,--,--,Unknown / Non-Applicable, Data science,
S&P Global,Hyderābād,Senior MLOps Engineer,"In this role, you will play a pivotal role in implementing our machine learning operations, ensuring the seamless deployment, monitoring, and management of our……
Skills: CI/CD, Elasticsearch, Big data, NoSQL, Git",4.1,0,900000,1000000,950000.0,10000+ Employees,1860,Company - Public,Research and development,Management and consulting,$10+ billion (USD)," CI/CD, Elasticsearch, Big data, NoSQL, Git",164.0
Infosys,Bengaluru,Data Science,"Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning &……
Skills: R, SQL, Project management, Machine learning, Natural language processing",3.7,0,60000,400000,230000.0,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)," R, SQL, Project management, Machine learning, Natural language processing",43.0
Innovecture,Pune,Junior Data Scientist,"O Maintain and optimize data storage solutions, ensuring data integrity and accessibility. O Ensure data is collected, transformed, and loaded efficiently from……
Skills: Power BI, Azure, Big data, Spark, R",4.6,0,900000,1000000,950000.0,51 to 200 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)," Power BI, Azure, Big data, Spark, R",17.0
EVOLVE ROBOTICS,India,Data Science Trainee,"Responsibilities: Direct responsibility for all the training activities conducted under each area (regular training program, campus program, student projects).…
Skills: R, SQL, AWS, Machine learning, Natural language processing",,0,600000,900000,750000.0,,,,,,," R, SQL, AWS, Machine learning, Natural language processing",
Foundry- Internships,Bengaluru,Data Science Intern,"Based on their interests and our business needs, interns will be placed in roles that best suit them. Thorough grasp of computer science principles.…
Skills: Computer science, C#, .NET, Analysis skills, Math",,0,400000,700000,550000.0,,,,,,," Computer science, C#, .NET, Analysis skills, Math",
Diverse Infotech,Gurgaon,Data Science Analytics,"Data Science Analytics Diverse Infotech Pvt. Ltd. - Gurgaon Required Experience - 2+……
Skills: Data science",4.0,0,700000,800000,750000.0,1 to 50 Employees,2008,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable, Data science,16.0
Boston Consulting Group,Delhi,Global IT Data Solution Architect Senior Manager,"Collaborate with Enterprise Architects and other Solution Architects and engineers to architect and design technical solutions that are aligned with enterprise……
Skills: Azure, Application development, AWS, Data management, APIs",4.2,0,900000,1000000,950000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," Azure, Application development, AWS, Data management, APIs",61.0
BOEING,Bengaluru,Lead Data Scientist,"Bachelor’s degree or higher in computer science or other closely related fields. Exhibits confidence and an extensive knowledge of emerging industry practices……
Skills: MATLAB, Big data, Mobile applications, Business analysis, System design",3.8,0,100000,800000,450000.0,10000+ Employees,1916,Company - Public,Aerospace and defence,Aerospace and defence,$10+ billion (USD)," MATLAB, Big data, Mobile applications, Business analysis, System design",108.0
SatSure Analytics India,Bengaluru,Data Science Intern,"To perform exploratory data analysis to understand datasets, identify patterns, and prepare data for model training.…
Skills: TensorFlow, Image processing, Computer vision, Analysis skills, Machine learning",4.1,0,1000000,1000000,1000000.0,51 to 200 Employees,2017,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable," TensorFlow, Image processing, Computer vision, Analysis skills, Machine learning",7.0
Excellent Opportunity,Remote,Python Data Scientist/Analyst,"You'll be interacting and validating the output of an LLM (asking questions based on an open source data set and then verifying and providing feedback on the……
Skills: Data analysis skills, English, AI, Communication skills, Python",,0,600000,900000,750000.0,,,,,,," Data analysis skills, English, AI, Communication skills, Python",
Datamites,Pune,Data Science Trainer,"Bachelor's degree or higher in a relevant field such as Computer Science, Mathematics, Statistics, or Engineering. Strong analytical and problem-solving skills.…
Skills: R, Data analysis skills, Databases, Analysis skills, Machine learning",,0,600000,700000,650000.0,,,,,,," R, Data analysis skills, Databases, Analysis skills, Machine learning",
Boston Consulting Group,Delhi,Global Data Scientist Senior Manager,"Our data analytics and artifical intelligence professionals mix deep domain expertise with advanced analytical methods and techniques to develop innovative……
Skills: TensorFlow, Statistics, Power BI, Azure, Kubernetes",4.2,0,700000,900000,800000.0,10000+ Employees,1963,Company - Private,Business consulting,Management and consulting,$5 to $10 billion (USD)," TensorFlow, Statistics, Power BI, Azure, Kubernetes",61.0
DeepTek Medical Imaging,Pune,JD For Data Science Intern,"Knowledge of Python, Basic knowledge of deep learning. Completed or pursuing a Bachelor’s in relevant fields such as Computer Science, Data Science, or a……
Skills: Deep learning, Natural language processing, Data science, Communication skills, Python",4.0,0,600000,1000000,800000.0,1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Deep learning, Natural language processing, Data science, Communication skills, Python",
Infowiz Software Solution,Chandigarh,DATA SCIENCE,"Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.…
Skills: Machine learning, Data science",4.5,0,600000,700000,650000.0,51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable," Machine learning, Data science",
Tata Technologies,Bengaluru,Junior DATA ENGINEER,"Bachelor's degree in Computer Science, Software Engineering, or a related field• Up to 2 years of experience in software developm ent with exposure to AI or……
Skills: Ontology, Azure, AWS, Analysis skills, Machine learning",3.8,0,200000,600000,400000.0,10000+ Employees,1989,Company - Private,Research and development,Management and consulting,$100 to $500 million (USD)," Ontology, Azure, AWS, Analysis skills, Machine learning",35.0
